track_id,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_name,instrumentalness,mode,key,acousticness,playlist_subgenre,rating,small_text,review,gemini_review
2plbrEY59IikOBgBGLjaoe,0.592,157.969,0.521,pop,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",3.0,0.0304,100,die with a smile,Today's Top Hits,Die With A Smile,0.0,0.0,6.0,0.308,mainstream,,,,
6dOtVTDdiauQNBQEDOtlAB,0.507,104.978,0.747,pop,-10.171,0.117,0.438,Billie Eilish,4.0,0.0358,97,hit me hard and soft,Today's Top Hits,BIRDS OF A FEATHER,0.0608,1.0,2.0,0.2,mainstream,,,,
7ne4VBA60CxGM75vw0EYad,0.808,108.548,0.554,pop,-4.169,0.159,0.372,Gracie Abrams,4.0,0.0368,93,the secret of us (deluxe),Today's Top Hits,That’s So True,0.0,1.0,1.0,0.214,mainstream,,,,
1d7Ptw3qYcfpdLNL5REhtJ,0.91,112.966,0.67,pop,-4.07,0.304,0.786,Sabrina Carpenter,4.0,0.0634,81,short n' sweet,Today's Top Hits,Taste,0.0,0.0,0.0,0.0939,mainstream,,,,
5vNRhkKd0yEAg8suGBpjeY,0.783,149.027,0.777,pop,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",4.0,0.26,98,apt.,Today's Top Hits,APT.,0.0,0.0,0.0,0.0283,mainstream,,,,
0WbMK4wrZ1wFSty9F7FCgu,0.582,116.712,0.7,pop,-5.96,0.0881,0.785,Chappell Roan,4.0,0.0356,94,"good luck, babe!",Today's Top Hits,"Good Luck, Babe!",0.0,0.0,11.0,0.0502,mainstream,,,,
6MzofobZt2dm0Kf1hTThFz,0.561,150.069,0.669,pop,-6.538,0.0954,0.841,Addison Rae,4.0,0.0411,88,diet pepsi,Today's Top Hits,Diet Pepsi,0.00962,1.0,10.0,0.495,mainstream,,,,
3QaPy1KgI7nu9FJEQUgn6h,0.247,148.101,0.467,pop,-12.002,0.17,0.126,Billie Eilish,4.0,0.0431,93,hit me hard and soft,Today's Top Hits,WILDFLOWER,0.000271,0.0,6.0,0.612,mainstream,,,,
0UYnhUfnUj5adChuAXvLUB,0.416,94.926,0.492,pop,-10.439,0.203,0.297,Gigi Perez,4.0,0.0254,71,sailor song,Today's Top Hits,Sailor Song,8.61e-05,1.0,11.0,0.686,mainstream,,,,
1Es7AUAhQvapIcoh3qMKDL,0.722,119.973,0.769,pop,-5.485,0.111,0.57,"The Weeknd, Playboi Carti",4.0,0.0507,92,timeless,Today's Top Hits,Timeless (with Playboi Carti),2.56e-06,0.0,11.0,0.0584,mainstream,,,,
3WOhcATHxK2SLNeP5W3v1v,0.667,130.019,0.776,pop,-6.622,0.0761,0.618,"Charli xcx, Billie Eilish",4.0,0.0983,85,guess featuring billie eilish,Today's Top Hits,Guess featuring billie eilish,0.3,1.0,7.0,0.0146,mainstream,,,,
5N3hjp1WNayUPZrA8kJmJP,0.586,107.071,0.669,pop,-6.073,0.104,0.579,Sabrina Carpenter,4.0,0.054,88,please please please,Today's Top Hits,Please Please Please,0.0,1.0,9.0,0.274,mainstream,,,,
1f18HzFpegqvH4ibGJyeMJ,0.806,104.032,0.608,pop,-3.443,0.191,0.587,Tate McRae,4.0,0.0486,79,2 hands,Today's Top Hits,2 hands,0.0,1.0,1.0,0.121,mainstream,,,,
2FQrifJ1N335Ljm3TjTVVf,0.709,81.012,0.722,pop,-4.95,0.0804,0.604,Shaboozey,4.0,0.0273,86,a bar song (tipsy),Today's Top Hits,A Bar Song (Tipsy),0.0,1.0,9.0,0.0633,mainstream,,,,
4xdBrk0nFZaP54vvZj0yx7,0.757,139.982,0.742,pop,-4.981,0.305,0.957,Chappell Roan,4.0,0.0421,88,the rise and fall of a midwest princess,Today's Top Hits,HOT TO GO!,0.0,1.0,6.0,0.0187,mainstream,,,,
19KlZwqlT3fguP2BeHF1Q1,0.917,100.987,0.562,pop,-2.768,0.488,0.501,Lady Gaga,4.0,0.117,86,disease,Today's Top Hits,Disease,0.0,0.0,11.0,0.0513,mainstream,,,,
5G345YEhvleYxQLfYUlEFv,0.787,109.939,0.734,pop,-3.951,0.312,0.672,LISA,4.0,0.116,82,moonlit floor (kiss me),Today's Top Hits,Moonlit Floor (Kiss Me),0.0,0.0,5.0,0.126,mainstream,,,,
7hR22TOX3RorxJPcsz5Wbo,0.843,122.064,0.619,pop,-5.348,0.164,0.746,Morgan Wallen,4.0,0.0284,86,love somebody,Today's Top Hits,Love Somebody,0.000118,0.0,5.0,0.00948,mainstream,,,,
51rfRCiUSvxXlCSCfIztBy,0.406,115.94,0.53,pop,-7.507,0.133,0.338,Gracie Abrams,3.0,0.033,90,the secret of us,Today's Top Hits,"I Love You, I'm Sorry",0.0,1.0,10.0,0.656,mainstream,,,,
