track_id,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_name,instrumentalness,mode,key,acousticness,playlist_subgenre,rating,small_text,review
1BJJbSX6muJVF2AK7uH1x4,0.782,119.992,0.727,pop,-8.529,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4.0,0.042,86,move,Today's Top Hits,Move,0.336,0.0,8.0,0.0563,mainstream,7.8,"Living on the New Hampshire seacoast, I can relate to the state of mind that might drive one to bossa ...","Living on the New Hampshire seacoast, I can relate to the state of mind that might drive one to bossa nova music. I was on the beach this weekend on a sunny day, and the air was still freezing. The local clam shack and ice cream stand had opened but the people in line were wearing windbreakers; this year's scoop girls are only just starting to build the biceps that they'll take to school next fall.It doesn't get hot enough in Portland, Oregon for music like this, and maybe that's why Chad Crouch and Blanket Music recorded Move in the South Pacific, on balmy Island 734-001 of the Bikini Atoll. They're joined by the beautiful voices of Esperanza Spalding (of Noise for Pretend) and Corrina Repp, who sound as smooth as ice against a hot torso. ""Shut up and sway your hips,"" they implore, and the tropical songs and warm recording couldn't sound more like an afternoon at a bar by the beach. They even put a cocktail umbrella in the spine of the disc, to illustrate what you're missing.Crouch says this is party music, and it is, though it's also good hangover music: soothing and free of shrill noise. The hooks are so subtle and laid-back that it can take a few listens to appreciate Crouch's catchy songwriting-- most notably on ""K - A - R - A [breathless] O - K [keep it coming] EEEeeeeeeeee,"" where his droopy-dog vocals and clever lyrics dance over a catchy guitar riff. Greg Lind's drumming is limber but restrained, and even the drum machine that augments the music is nicely integrated-- as on the hot jazz-meets-IDM ""Itchy Popcorn,"" which builds to speaker-shaking bass. Crouch is a low-key frontman with a thin, melodic voice, perfect for the tone of this record, and he and Ross Seligman play killer staccato lines on guitar.I'd expect American bossa nova to be as bad as other Americanized ethnic creations, like American ska, or American chop suey. In addition to having a stand-up band, Crouch succeeds by not pretending to be anything he isn't-- instead of posing as a smooth island loverboy, he sticks to wry lyrics and mundane topics. He has three jobs: as a musician, as a designer, and as the head of this label; and he likes to talk about the need to slow down. Like the 'to do' list that's set to a beautiful tune on ""Walk the Dog,"" or his potshots at hip visual artists in ""Hot Designers."" He writes witty love songs about (though not necessarily to) his ""incredible"" girlfriend, who he describes so sweetly in the liner notes that I winced hoping they haven't broken up since this came out. For example, the cutesy interplay in ""Tap the Beat"" (He: ""And if I lost my legs..."" She: ""I would put you on my back/ And I would grab things off the shelf for you""). Hey, guys, get a room!On a song like ""Costa Del Sol"" there's genuine yearning in Crouch's voice, the note of sincerity that makes it compelling and not just exotic. What does he yearn for? Maybe his girlfriend, though she probably hangs around plenty; maybe something as global as world peace, as on ""Get Togetha."" But more than anything, it sounds like Crouch wanted to vacation in a warm place and to party. And on the defrosting boardwalks, in the last gusts of New England's waning chill, that's good enough for me."
6aJn7Cst74cj4lNIiPRgav,0.904,167.033,0.739,pop,-2.655,0.0948,0.788,KATSEYE,4.0,0.0442,85,touch,Today's Top Hits,Touch,1.03e-05,0.0,5.0,0.549,mainstream,7.6,"On roughly two-thirds of her sophomore album, Amerie combines her cutting yelps and gasps to Rich Harrison's D.C. go-go-rooted combination of Stax grit and Neptunes shine.","When Amerie's ""1 Thing"" finally hit radio this March, it sounded like the arrival of spring. The song jumped and wriggled and moved like nothing else on the radio: a huge, loose-limbed, roiling, sweaty, berserk drum break, greasy guitars stabs exploding like fireworks. Rich Harrison, who produced Beyonce's ""Crazy in Love"", made the track, and it has the same sense of dizzy sunkissed freedom. But its greatest asset is the voice that cut through the drums like a sword, yelping and gasping and screaming for joy.""1 Thing"" is the first track on R&B; singer Amerie Rogers' sophomore album Touch, and the album never again reaches the giddy heights of that song. It never could. ""1 Thing"" is all sweat and teeth and adrenaline. After that opening salvo, Rogers slowly settles into the pillowy, luxurious tracks that Harrison creates for her. Harrison's production has an organic core. He spent his formative years working in D.C. go-go, and his compositions have that loose-limbed swagger, relying heavily on sampled horn screams and weeping electric pianos. But his work never sounds like a throwback; his tracks all have a glossy, processed sheen.Amerie may be the perfect collaborator for Harrison's combination of Stax grit and Neptunes shine. Rogers has one of those thin, reedy voices popular on the radio right now; another producer would probably turn her into a sound effect, the way Lil Jon did with Ciara on ""Goodies"". But she has an urbane sophistication that sets her apart from the likes of Ashanti and Nivea; her precise jazz phrasing is the only saving grace on the mawkish ballad ""Just Like Me"". And when she has to, she brings out a fiery emotional center; on the breakup stomper ""Rolling Down My Face"", she squeezes across the song's tricky mix of regret and determination. Midway through the album, Rogers and Harrison come together perfectly for the second time on ""Talkin' About"", an impossibly catchy midtempo howler with a shifty drum track and the sort of glorious chorus hook that'll worm its way right into your brain. These two know each other well.Harrison produced eight of the 13 tracks on Touch, and too many of the other producers' tracks don't fit into his lush tapestry. Rogers can't do anything with Bryce Wilson's squelchy Neptunes keyboards on ""Not the Only One"". But Rogers brings her personality to tracks that wouldn't have worked otherwise. When Lil Jon shows up for the obligatory club track (the title track here), Rogers' frisky, coy vocal and a nimble little conga bit turn an otherwise leaden, paint-by-numbers crunk&b; track into a sexy little experiment with Latin freestyle. It may not be ""1 Thing"", but it'll do."
3qhlB30KknSejmIvZZLjOD,0.454,159.982,0.689,pop,-7.643,0.0707,0.912,Djo,4.0,0.0584,89,decide,Today's Top Hits,End of Beginning,0.00259,1.0,2.0,0.0351,mainstream,6.8,"On his second solo album, Stranger Things actor Joe Keery fights his way through the simulation with winking, off-kilter synth-pop.","Joe Keery knows what you are probably thinking—another actor with a musical side project? Ugh. To Keery’s credit, making music is more than a passing vanity project; before he found life-altering fame playing Steve Harrington, the reformed bad boy of Stranger Things, he played guitar in the Chicago psych-rock band Post Animal. Over the last few years, in between roles as a murderous rideshare driver and a beleagured video game designer, he’s been kicking around a solo synth-pop project called Djo. As suggested by the moniker, which is pronounced like his first name, it’s still him—but with a wink.Djo’s vibes-forward second album, Decide, conceals its anxieties about change and identity beneath an onslaught of synthesizers and Auto-Tune, often in the interest of fun but occasionally to its detriment. Written and produced alongside Adam Thein, Decide takes full advantage of studio wizardry. Opener “Runner” begins with a series of borderline 8-bit bleeps as Keery commits to growth—“People never change/But I have to try”—delivered in a crystal-clear falsetto. Soon enough, the song transitions into a slicker, chromatic sound, all vocodered vocals and savvy electronica that wraps up with a strangled shout. Sometimes, the full-bodied pastiche can’t hide some clunky lyricism. “I know my hair looked good in the bathroom at the bar/Turns out I left my wallet at the bathroom bar” goes one such line on the Talking Heads-esque “Gloom.” An exploration of the pitfalls of ego—and potentially good-natured jab at his own famous mane—it’s a charming attempt at nodding to his audience, even if his songwriting isn't quite up for the challenge.It is ironic, then, that the best tracks on Decide tend to be the longer ones, when Keery’s instrumental impulses are allowed to spiral in unexpected directions (those psych rock roots die hard). While agonizing over the grip of social media, “Half Life” toggles between ominous stillness and bursts of sparkly brightness in a manner that evokes a dopamine loop. “On and On,” a song about doomscrolling, coasts along on a throbby wobble before skyrocketing into an arena rock-sized percussion breakdown.Decide is a fun, off-kilter synth-pop album that proves Keery’s talent, but by its conclusion, a clearer picture of its maker fails to emerge. (One lovely exception is “End of Beginning” with its lyrics about returning to Chicago and reconnecting with a past version of himself.) As on his debut TWENTY TWENTY, Djo proudly reps influences like Daft Punk and Tame Impala, borrowing their tricks without adding much in the way of innovation. Still, the lack of personal revelations is forgivable: Keery has explicitly said that he hoped the Djo persona—he sports a ’70s bowl cut wig onstage and in promo pics—would help distance himself from his onscreen roles. There is something tragic about an album preoccupied with the fakeries of technology made by someone whose fans have as largely formed a relationship with him through the screen. But with Djo, he is finding his way through the simulation."
3dPQuX8Gs42Y7b454ybpMR,0.446,123.596,0.743,rock,-7.807,0.337,0.278,The White Stripes,4.0,0.0683,82,elephant,Rock Classics,Seven Nation Army,0.118,0.0,4.0,0.0039,classic,6.9,"Church's Fried Chicken now sits at the crossroads of Highway 49 and Highway 61 in Clarksdale, Mississippi\n\ like ...","Church's Fried Chicken now sits at the crossroads of Highway 49 and Highway 61 in Clarksdale, Mississippi like an unaware, prefabricated neon mausoleum. While you can no longer barter your soul to Beelzebub for guitar-picking prowess, The Man will gladly exchange your eternal being for a place on the fryer and a hairnet. Or one may just opt for the Sweet Biscuit Crunchers and some Purple Pepper Sauce for a dollar. The tragicomic irony of a fast food joint squatting on the Valhalla of Delta Blues out-tarnishes our collective lore more than the Bus Stop of Gethsemane and adjoining Mount of Olives Hotel. And when you toss one of those sugary Sweet Biscuit Crunchers or gooey Honey-Butter Biscuits into your fat maw, you can let your mind drift to the thinly veiled sexual euphemisms of the blues, where biscuit almost certainly means ""vagina.""The Blues had been raped, exploited, stolen, diluted, rediscovered, reforgotten, and rendered meaningless countless times long before the Russian Mafia kept hot on the heels of the Blues Brothers 2000 and the House of Blues primarily showcased Wu-Tang side projects and Godsmack. Now, nearly a century after its birth, a non-ironic, post-Jon Spencer form of the Blues has risen again, ever so stubbornly and somnolently-- and naturally, it's being led by a couple of white kids. Jack White ahem not only namedrops Robert Johnson, he covers him. Summons him. Wears the same little derby as him. And on ""Ball and Biscuit"", the album-stretching stomper of the White Stripes' fourth album, White moans, ""Let's have a ball and a biscuit, sugar."" It's all too plainly clear what he means.What's less clear on the track (and the rest of Elephant), however, is just what Jack White intends. Certainly, one of his goals is to simply Rock, which his shit-hot guitar solos do bombastically; those Sears-Roebucks pickups buzz and screech like atomic harmonicas on the album's best songs. But beyond this, White struggles to tenuously weld a growing amalgam of contradictions and genre experiments with a veneer of schtick, persona and Fonzie cool, while Meg's pancake-handed drumming drips solvent over the whole experiment.The problem is that Jack White aims to honor his diverse heroes with too limited a palette; it's like paying tribute to Edward Hopper, Ansel Adams, Robert Colescott, and Georgia O'Keeffe in mural with a foot-pump-operated Wagner Power Painter and buckets of red and white. ""Hypnotize"" valiantly strives for The Stooges, while ""Girl, You Have No Faith in Medicine"" gives up four fingers to a butcher's knife on the altar of Led Zeppelin. But Jack White is no Jim Page (nor Osterberg), and suggestions to the contrary will earn you an explanation at the end of the Questionable Musical Taste line on judgment day. Meg White, meanwhile, pleads to her man on ""In the Cold, Cold Night"" like a coy Mo Tucker or Georgia Hubley-- more so than take-no-sass Patsy Cline or Dusty in Memphis. Linty in Arkadelphia, perhaps."
7snQQk1zcKl8gZ92AnueZW,0.952,125.304,0.445,rock,-5.321,0.112,0.624,Guns N' Roses,4.0,0.0522,84,appetite for destruction,Rock Classics,Sweet Child O' Mine,0.0843,1.0,6.0,0.09,classic,10.0,"The debut from Guns N' Roses was a watershed moment in '80s rock that chronicled every vice of Los Angeles led by the lye-voiced Axl Rose and a legendary, switchblade-sharp band.","The video for “Welcome to the Jungle,” Appetite for Destruction’s mission statement, mirrors the journey that an unsuspecting listener might take during their first spin through Guns N’ Roses’ 1987 debut. A fresh-faced, 25-year-old Axl Rose, so country that he’s got a long stalk of wheat between his teeth, gets off a bus and enters a landscape that screams “bad side of town”; neon lights flash darkly, a shady guy perched on the corner approaches him, black-stockinged legs catch Axl’s eye. Cut to a similarly dank club where, with the aid of Aqua Net, Axl and the rest of Guns N’ Roses are barreling through the track, while TVs flicker into A Clockwork Orange-style fantasia about the bad news lurking all around.The electric opening notes, played with sputtering enthusiasm by lead guitarist Slash, only hint at the terror that’s coming; Axl’s under-his-breath “Oh my god” cranks up the tension; and then, aided by Steven Adler’s lightly swinging drums and backing vocals that recall a demon choir, the full horror is exposed—a world where every vice is for sale depending on your mood for indulgence and your tolerance for sin. The chugging breakdown, which culminates in Axl’s shrieked “You know where you are? You’re in the jungle, baby! You’re gonna diiiieeeeeaagghghhhhhghghghgh,” is “Tubular Bells” through a Marshall stack, a horror movie in miniature for anyone who thought the rock’n’roll lifestyle was all fun and games.Amid the bumper crop of records from ’80s bands who graduated from Sunset Strip clubs to MTV’s newly minted  “Headbangers Ball”—the self-titled debuts from glam brats Faster Pussycat and biker-bloozers L.A. Guns—Appetite stood out for how absolutely harsh it got, its chronicles of the wild life in Los Angeles plainly stated by the lye-voiced Axl while his bandmates bobbed and thrashed. The Los Angeles portrayed on Appetite inverts the ideal of Randy Newman’s ever-lovable metropolis, turning it into a place where the then-in-vogue term “drug war” meant fighting with the spectre of heroin (aka “Mr. Brownstone”), where trickle-down economics meant buying cheap hooch on the last scraps of credit, and where paranoid fantasies were always justified. Women were beautiful and you could even put the ones with less utility in their place every so often. It was the jungle, baby, and you were gonna die.Appetite for Destruction didn’t only stand out because of its storm of bad vibes, although that sure helped. The band’s stew of influences—caustic punk, sinewy funk, Aerosmith, the Stones—helped make it a switchblade-sharp statement of intent. “In the last year, I’ve spent over $1,300 on cassettes, everything from Slayer to Wham! to listen to production, vocals, melodies, this and that,” Axl told the UK music magazine Sounds in 1987, and while Mike Clink’s economical production doesn’t have the gloss of Wham!’s Make It Big, studying influences beyond the glammed-up bills at the Troubadour  played a large part in the band’s sound."
6L89mwZXSOwYl76YXfX13s,0.943,85.064,0.442,rock,-3.205,0.091,0.781,Green Day,4.0,0.0602,80,dookie,Rock Classics,Basket Case,8.71e-06,1.0,3.0,0.00293,classic,8.7,"From its humble roots in the Bay Area punk scene to its massive hooks, Dookie has become one of the greatest teenage wasteland albums of any generation.","When he was 10 years old, long before he sang about masturbation losing its fun, Billie Joe Armstrong lost himself in music. His father had just died of cancer, and in Rodeo, Calif., a smallish East Bay suburb next to an oil refinery, Armstrong retreated into MTV, the Beatles, Van Halen, and a Stratocaster knock-off he nicknamed Blue. He grew close to schoolmate Michael Pritchard, who had his own family grief and who introduced Armstrong to British heavy metal giants like Judas Priest and Iron Maiden. Pritchard later earned the sobriquet Mike Dirnt, for his constant dirnting on bass guitar.In high school, Armstrong and Dirnt smoked pot and played in a band called Sweet Children, finding their tribe in a tiny clique of DIY punks. By 1988, Sweet Children had their first gig at 924 Gilman Street, the Berkeley punk mecca opened the previous year by Maximumrocknroll zine founder Tim Yohannan, and Armstrong told his waitress mother he wouldn’t be graduating. Sweet Children signed to Lookout Records!, changed their name to Green Day, and put out a pair of rough but promising EPs. They brought in Frank “Tré Cool” Wright, a drummer known equally for his musicianship and his mischievousness, and with their sharply improved LP Kerplunk!, Green Day arrived.As Kerplunk! landed on shelves in December 1991, Nirvana’s Nevermind zoomed to the top of the album charts. A band with Green Day’s momentum and punk pedigree was obvious bait for the major labels. Still, it was Armstrong’s voice, sneering and congested, that initially put one A&R exec off of Green Day’s demo. Luckily, he passed it to his producing partner, Rob Cavallo, whose father had been Prince’s manager circa Purple Rain and who, despite signing respected L.A. pop-punks the Muffs, was sorely in need of a hit.He found one. Co-produced by Cavallo and the band themselves, Green Day’s Dookie was released on February 1, 1994. To date, the band’s Warner/Reprise debut has sold more than 16 million copies worldwide. Most of those album buyers probably know nothing about its makers’ humble origins. But that story helps to explain the unique series of balances, between showmanship and disaffection, dogmatic punk ideals and romantic stadium dreams, sweetness and scatology, partying and pain, that have turned Dookie into one of the greatest teenage wasteland albums of any generation. Armstrong’s Dookie guitar? His childhood’s trusty old Blue."
2SiXAy7TuUkycRVbbWDEpo,0.767,127.361,0.532,rock,-5.509,0.39,0.755,AC/DC,4.0,0.0574,81,back in black,Rock Classics,You Shook Me All Night Long,0.000513,1.0,7.0,0.00287,classic,8.8,"Each Sunday, Pitchfork takes an in-depth look at a significant album from the past, and any record not in our archives is eligible. Today, we revisit the classic rock staple from a band who rebounded from tragedy to record one of the biggest albums ever made.","For many bands, the sudden and horrific death of their lead singer at the peak of their popularity would be a career-ender. AC/DC took a few weeks to regroup and then recorded one of the biggest albums of all time.Back in Black is claimed in equal measure by the jocks, the stoners, the nerds, the delinquents, and the teachers. Nashville studios used it to test their acoustics. The title track boasts nothing less than one of the most gloriously elemental riffs ever devised—the perfection of the form, the ne plus ultra of jock jams, destined to be clumsily chunked out for eternity by teens testing fuzz pedals in God’s own Guitar Center. It might not necessarily be AC/DC’s best—if their career can even be measured in units of particular albums rather than one long, loud, continuous mid-tempo guitar riff spanning five decades. But it is their most album—most accessible, most successful, most enduring, most emblematic, and, given its genesis, most unlikely.In 1979, AC/DC had made the leap from workingman Australian hard-rock band, opening arena tours for the likes of Cheap Trick and UFO, to bona fide headliners in their own right. Highway to Hell—their seventh album in five years—had gone platinum in the U.S., thanks in large part to producer Robert John “Mutt” Lange, whose kitchen-sink ethos would define the sound of rock radio for the next decade. (Previous AC/DC albums had been produced by the legendary Australian songwriting duo of Harry Vanda and George Young, the latter of whom happened to also be the older brother of AC/DC guitarists Malcolm and Angus Young.) The success of the album cemented the image of the band as libidinous but harmless dirtbags, perfecting carnal anthems tuneful enough to attract normies seeking an edge and heavy enough to keep the metal faithful in line. Angus was as much mascot as musical director, a perpetual motion machine decked out in a schoolboy uniform, but ultimately less threatening than an actual teenager.Though not necessarily the band’s focal point, their lead singer was 33-year-old Bon Scott, a hard-partying, Scottish-born, impossible-voiced dynamo for whom the word impish was invented. He died alone in the passenger seat of a car on a freezing February night in London in 1980 following a night of drinking, having asphyxiated on his own vomit; authorities ruled it “death by misadventure.” The Young brothers retreated doing the only thing they knew how—coming up with shitloads of guitar riffs—then kicked off a search for Scott’s replacement in earnest almost immediately."
6QewNVIDKdSl8Y3ycuHIei,0.944,105.338,0.394,rock,-6.506,0.298,0.265,Pearl Jam,4.0,0.0761,77,ten,Rock Classics,Even Flow,4.54e-06,0.0,10.0,0.00178,classic,7.0,"Girls Aloud are as huge a pop act as the UK has seen in the past decade, yet they've never so much as dented the American charts. This retrospective compilation, which tacks on four new songs, marks their first decade as a band.","Girls Aloud are as huge a pop act as the UK has seen in the past decade, yet they've never so much as dented the American charts. Cheryl Cole, Sarah Harding, Nadine Coyle, Nicola Roberts, and Kimberley Walsh were put together on the reality show Popstars: The Rivals in 2002, and they proceeded to score 20 consecutive British Top 10 singles over the next seven years. That series of hits may well be their legacy, despite the fact that they've reunited for four new songs on this retrospective, their second greatest hits compilation to date.The most obvious comparison for Girls Aloud is, of course, Spice Girls: cheerful! Euro! girl-power-y! But it might be a little more accurate to compare them to the mid-60s-era Supremes, a group whose presence is all about charm and restraint, and whose behind-the-scenes powerhouse is a brilliantly original writing and production team. In roughly the same way that the Supremes of the period from ""Where Did Our Love Go"" to ""Reflections"" were the vocal adjuncts to Holland-Dozier-Holland, Girls Aloud are basically the most prominent performing associates of Xenomania, the UK song-factory collective centered on Brian Higgins.Xenomania has cranked out dozens of European hits over the past 15 years, for acts like Pet Shop Boys, Sugababes, and Kylie Minogue. They don't exactly have a signature sound, although they do have a signature songwriting style, which seems to consist of writing a lot of songs, then chopping them up into pieces, keeping the catchiest parts, and seeing which ones can be sutured together into new songs. The best Xenomania songs tend to come off like miraculously coordinated mini-suites; the second-rank ones sound more like ""Stars on 45""-style medleys.Girls Aloud, as it happens, got a lot of the best ones. The utterly wonderful ""Biology"" starts with a Chicago electric blues riff, of all things; that gets supplanted by a string of increasingly amazing Eurotechno melodies, the last of which-- the nominal chorus, which finally shows up two minutes in-- somehow transforms itself straight back into the blues riff again. ""Biology"" also features one of the proud Britishisms that are all over their records: ""We're gonna cause a conTROversy,"" Coyle wails. ""The Loving Kind"", which Pet Shop Boys co-wrote with Xenomania, pulls off another one by rhyming its title with ""disinclined.""As you might expect, Xenomania grab hooks wherever they can find them, and another other way of listening to Girls Aloud's hits is to try to catch all the allusions to the past 50 years' worth of pop as they whizz by. ""Love Machine""-- no relation to either the Miracles' or Morning Musume's respective hits called ""Love Machine""-- borrows its groove from the Smiths' ""Rusholme Ruffians"", its chorus melody from the Beatles' ""Baby You're a Rich Man"", and a stray lyric from Frankie Goes to Hollywood's ""Two Tribes"", for starters. It also contains one of their funniest lines: ""We're gift-wrapped kitty cats/ We're only turning into tigers when we gotta fight back."""
6QewNVIDKdSl8Y3ycuHIei,0.944,105.338,0.394,rock,-6.506,0.298,0.265,Pearl Jam,4.0,0.0761,77,ten,Rock Classics,Even Flow,4.54e-06,0.0,10.0,0.00178,classic,7.0,"Girls Aloud are as huge a pop act as the UK has seen in the past decade, yet they've never so much as dented the American charts. This retrospective compilation, which tacks on four new songs, marks their first decade as a band.","Girls Aloud are as huge a pop act as the UK has seen in the past decade, yet they've never so much as dented the American charts. Cheryl Cole, Sarah Harding, Nadine Coyle, Nicola Roberts, and Kimberley Walsh were put together on the reality show Popstars: The Rivals in 2002, and they proceeded to score 20 consecutive British Top 10 singles over the next seven years. That series of hits may well be their legacy, despite the fact that they've reunited for four new songs on this retrospective, their second greatest hits compilation to date.The most obvious comparison for Girls Aloud is, of course, Spice Girls: cheerful! Euro! girl-power-y! But it might be a little more accurate to compare them to the mid-60s-era Supremes, a group whose presence is all about charm and restraint, and whose behind-the-scenes powerhouse is a brilliantly original writing and production team. In roughly the same way that the Supremes of the period from ""Where Did Our Love Go"" to ""Reflections"" were the vocal adjuncts to Holland-Dozier-Holland, Girls Aloud are basically the most prominent performing associates of Xenomania, the UK song-factory collective centered on Brian Higgins.Xenomania has cranked out dozens of European hits over the past 15 years, for acts like Pet Shop Boys, Sugababes, and Kylie Minogue. They don't exactly have a signature sound, although they do have a signature songwriting style, which seems to consist of writing a lot of songs, then chopping them up into pieces, keeping the catchiest parts, and seeing which ones can be sutured together into new songs. The best Xenomania songs tend to come off like miraculously coordinated mini-suites; the second-rank ones sound more like ""Stars on 45""-style medleys.Girls Aloud, as it happens, got a lot of the best ones. The utterly wonderful ""Biology"" starts with a Chicago electric blues riff, of all things; that gets supplanted by a string of increasingly amazing Eurotechno melodies, the last of which-- the nominal chorus, which finally shows up two minutes in-- somehow transforms itself straight back into the blues riff again. ""Biology"" also features one of the proud Britishisms that are all over their records: ""We're gonna cause a conTROversy,"" Coyle wails. ""The Loving Kind"", which Pet Shop Boys co-wrote with Xenomania, pulls off another one by rhyming its title with ""disinclined.""As you might expect, Xenomania grab hooks wherever they can find them, and another other way of listening to Girls Aloud's hits is to try to catch all the allusions to the past 50 years' worth of pop as they whizz by. ""Love Machine""-- no relation to either the Miracles' or Morning Musume's respective hits called ""Love Machine""-- borrows its groove from the Smiths' ""Rusholme Ruffians"", its chorus melody from the Beatles' ""Baby You're a Rich Man"", and a stray lyric from Frankie Goes to Hollywood's ""Two Tribes"", for starters. It also contains one of their funniest lines: ""We're gift-wrapped kitty cats/ We're only turning into tigers when we gotta fight back."""
6QewNVIDKdSl8Y3ycuHIei,0.944,105.338,0.394,rock,-6.506,0.298,0.265,Pearl Jam,4.0,0.0761,77,ten,Rock Classics,Even Flow,4.54e-06,0.0,10.0,0.00178,classic,7.8,"cLOUDDEAD's debut was an unassuming record, if you overlook how many people it confused or annoyed. It was\n ...","cLOUDDEAD's debut was an unassuming record, if you overlook how many people it confused or annoyed. It was the breakthrough success for the three artists who spearheaded it, but it built on a series of low-budget and bedroom projects-- like rappers Why? and Doseone's Greenthink project, Dose's murmuring Slowdeath, or producer and DJ Odd Nosdam's Plan 9: Meat Your Hypnotist-- where obtuse verses spilled out like ripped-up paper scraps over hazy, droning vinyl, overheard conversations or snippets from TV, on CDs that were fragmented into at least forty tracks apiece.The cLOUDDEAD project extended those methods; sharp humor and surreal images leavened the album's odd shapelessness, and the band even managed to eke out a few cogent concert pieces for their tour. But the way they stitched the record together was even more interesting: The songs run together at the drop of an attention span, and the band combined them as intuitively as a found sound artist creating order out of tossed-off materials. It had an unfinished feel fed by the two years that they worked on it, at dorms and parents' houses, and even through their relocation from Cincinnati to the Bay Area. It was an album about a process, not an outcome.The cLOUDDEAD record hit, as much as records like that ever do, and the Anticon collective-- of which Why?, Doseone and Odd Nosdam are founding members-- made waves beyond the underground hip-hop community with which it feuded. (And to be clear once again, the group never claimed this project was ""hip-hop,"" although the controversy from purists has done nothing but make people think harder about their work.) So as they finally release their follow-up, Ten, we know more about the artists, and they've grown more into their styles.You can identify the two frontmen at the start of ""Pop Song"": Why?'s the one gently singing, ""Elvis, what happened?"" while Dose chants, ""The wooden man and his splintering self."" Why?'s excellent Oaklandazulasylum revealed a rap-based artist who wants to write songs and strum a guitar, making him one of very few artists trying to cross over from hip-hop to indie rock. Doseone has worked with producer Jel under the name Themselves, and he also came into his own as a performer on his album with Circle, where partner Boom Bip's production challenged the sometimes self-absorbed intricacies of his lyrics.Completing the trio is Odd Nosdam, who produced half the tracks (Why? handled the rest) and played electronic drums. Nosdam demonstrates his deft taste in ambient vinyl and oompah beats, with a couple kitschy samples mixed in; on his tracks, the most static sounds can buzz and excite-- like the smoggy ""Rifle Eyes"", where the crackling noise seems to come from something more sinister than just old vinyl."
