track_id,track_name,Album Name,track_artist,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,playlist_genre,Record Label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,playlist_subgenre,playlist_name,gemini_review,small_text,text
spotify:track:4jwrBNhvazRacmab5ArWSZ,Cheer Up Baby,It Won't Always Be Like This,Inhaler,2021-07-09,233906,54,False,,2025-12-03T19:47:36Z,,Polydor Records,0.462,0.914,8,-6.382,1,0.0416,0.00124,0.000125,0.0978,0.326,142.978,4,,,,,Cheer Up Baby by Inhaler. .
spotify:track:3fGnrtrtL1IHSX9t4DKOYf,Cornelia Street - Live From Paris,Cornelia Street (Live From Paris),Taylor Swift,2020-05-18,296013,58,False,,2025-11-27T22:36:02Z,,Taylor Swift,0.502,0.462,11,-7.526,1,0.0265,0.578,0.0,0.721,0.304,97.085,4,,,,,Cornelia Street - Live From Paris by Taylor Swift. .
spotify:track:1VCHNbal0VtE2plMRzvoho,Weekend,Weekend,Louis The Child;Icona Pop,2016-07-01,175058,50,True,,2025-11-18T19:19:13Z,,Big Beat Records,0.684,0.774,7,-5.951,1,0.188,0.26,0.0,0.108,0.448,84.991,4,,,,,Weekend by Louis The Child;Icona Pop. .
spotify:track:0vYSTV1Lye2Z2zktF6P39C,WHERE IS MY HUSBAND! - Remix,WHERE IS MY HUSBAND! (Remix),RAYE;David Guetta;Hypaton,2025-11-14,153768,75,False,,2025-11-18T04:05:14Z,edm,Human Re Sources,0.578,0.973,10,-3.432,1,0.0334,0.00731,0.0288,0.0845,0.491,127.983,4,,,"A high-energy, pounding tech house track, this remix creates a chaotic yet confident mood with its driving bassline, heavy electronic drums, and assertive, sampled female vocal chops. It belongs on a 'Late Night Club Bangers' playlist, designed for maximum dancefloor impact.",,WHERE IS MY HUSBAND! - Remix by RAYE;David Guetta;Hypaton. edm .
spotify:track:5ViLKrbyL3HD6wsq3AB9eI,White Keys,White Keys,Dominic Fike,2025-11-14,144101,78,False,,2025-11-17T01:15:33Z,,Columbia,0.712,0.547,11,-8.514,0,0.194,0.788,1.81e-05,0.15,0.841,81.978,4,,,,,White Keys by Dominic Fike. .
spotify:track:77XokS4KgCqBneMVdK6KpT,Can't Help It,Nowhere To Be,West 22nd,2025-04-04,259372,46,False,,2025-11-17T01:15:25Z,,W22 Records,0.504,0.692,4,-5.744,1,0.0384,0.0103,0.000679,0.808,0.694,143.349,4,,,,,Can't Help It by West 22nd. .
spotify:track:7qAuCJDxFwt6Zp8WWVK15h,3am,3am,Łaszewo,2025-06-27,172928,70,False,,2025-11-05T16:03:36Z,stutter house,Boom Records LLC,0.721,0.89,5,-3.714,1,0.0403,0.22,0.00128,0.339,0.651,139.978,4,,,,,3am by Łaszewo. stutter house .
spotify:track:4bO6IzKXMWhmncfIO9GBq2,C'Mon,Warrior (Expanded Edition),Kesha,2012-11-30,214306,61,False,,2025-10-31T20:16:01Z,,Kemosabe Records/RCA Records,0.558,0.781,1,-5.448,0,0.0963,0.00657,0.00144,0.102,0.286,126.025,4,,,,,C'Mon by Kesha. .
spotify:track:6uNv4npQ8FZLsH7naE9GK4,i'm so gone,i used to think i could fly,Tate McRae,2022-05-27,146085,57,True,,2025-10-26T19:58:10Z,,RCA Records Label,0.833,0.46,4,-7.971,1,0.135,0.185,0.0,0.108,0.323,92.011,4,,,,,i'm so gone by Tate McRae. .
spotify:track:1Eqdkt6DfGNWElHpeujHGJ,HIGHJACK (right back),HIGHJACK (right back),Alok;Łaszewo;A$AP Rocky,2025-05-16,161982,71,True,,2025-10-25T01:53:10Z,"brazilian bass,electronic,slap house,electro house,stutter house,rap",A$AP Rocky Recordings LLC/ RCA Records/B1 Recordings,0.579,0.88,5,-5.229,0,0.268,0.0169,9.42e-06,0.0782,0.443,146.018,4,,,,,"HIGHJACK (right back) by Alok;Łaszewo;A$AP Rocky. brazilian bass,electronic,slap house,electro house,stutter house,rap ."
spotify:track:3FN7IJMnUMWZXDw08ix3ot,Stop This Flame - Celeste x MK,Stop This Flame (Celeste x MK),Celeste;MK,2021-06-25,203946,57,False,,2025-10-23T23:50:53Z,house,Polydor Records,0.692,0.846,8,-5.72,1,0.0559,0.0194,2.91e-05,0.324,0.827,124.007,4,,,,,Stop This Flame - Celeste x MK by Celeste;MK. house .
spotify:track:3zAHZVFXfbxPTZ792VFc7K,Guilty Pleasure,The Rise and Fall of a Midwest Princess,Chappell Roan,2023-09-21,224583,53,False,,2025-10-20T01:50:12Z,,Chappell Roan PS/ Island,0.555,0.599,2,-4.059,1,0.0413,0.0275,0.0,0.269,0.412,124.054,4,,,,,Guilty Pleasure by Chappell Roan. .
